id,fiscal_service_id,keyword,language_code,weight,is_auto_generated,created_at
SK-00080,T-003,sector,en,1,True,2025-09-29T12:09:56.011222Z
SK-00081,T-003,service,en,1,True,2025-09-29T12:09:56.011222Z
SK-00082,T-004,asunttos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00083,T-004,consular,es,1,True,2025-09-29T12:09:56.011222Z
SK-00084,T-004,cooperación,es,1,True,2025-09-29T12:09:56.011222Z
SK-00085,T-004,documentos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00086,T-004,exteriores,es,1,True,2025-09-29T12:09:56.011222Z
SK-00087,T-004,legalización,es,1,True,2025-09-29T12:09:56.011222Z
SK-00088,T-004,mercantiles,es,1,True,2025-09-29T12:09:56.011222Z
SK-00089,T-004,sector,es,1,True,2025-09-29T12:09:56.011222Z
SK-00090,T-004,servicio,es,1,True,2025-09-29T12:09:56.011222Z
SK-00091,T-004,documents,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00092,T-004,commerciaux,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00093,T-004,légalisation,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00094,T-004,affaires,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00095,T-004,consulaire,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00096,T-004,coopération,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00097,T-004,secteur,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00098,T-004,service,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00099,T-004,commercial,en,1,True,2025-09-29T12:09:56.011222Z
SK-00100,T-004,documents,en,1,True,2025-09-29T12:09:56.011222Z
SK-00101,T-004,legalization,en,1,True,2025-09-29T12:09:56.011222Z
SK-00102,T-004,affairs,en,1,True,2025-09-29T12:09:56.011222Z
SK-00103,T-004,consular,en,1,True,2025-09-29T12:09:56.011222Z
SK-00104,T-004,cooperation,en,1,True,2025-09-29T12:09:56.011222Z
SK-00105,T-004,sector,en,1,True,2025-09-29T12:09:56.011222Z
SK-00106,T-004,service,en,1,True,2025-09-29T12:09:56.011222Z
SK-00107,T-005,adquisición,es,1,True,2025-09-29T12:09:56.011222Z
SK-00108,T-005,asunttos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00109,T-005,consular,es,1,True,2025-09-29T12:09:56.011222Z
SK-00110,T-005,cooperación,es,1,True,2025-09-29T12:09:56.011222Z
SK-00111,T-005,expedición,es,1,True,2025-09-29T12:09:56.011222Z
SK-00112,T-005,exteriores,es,1,True,2025-09-29T12:09:56.011222Z
SK-00113,T-005,impreso,es,1,True,2025-09-29T12:09:56.011222Z
SK-00114,T-005,pasaporte,es,1,True,2025-09-29T12:09:56.011222Z
